empresa,telefone,website,cidade,estado,categoria,avaliacao,reviews,instagram,email,tem_site,tem_whatsapp,tem_instagram,tem_email,score,score_oportunidade,problema_principal,abordagem,servico_recomendado,prioridade,resumo_comercial,motivo_indicacao,qualificado
Imóveis MDG | Comprei PGFN SP: Oportunidades com até 50% de Desconto e 100% de Segurança,+55 11 99932-5224,https://imoveismdg.com.br/,São Paulo,SP,Consultora de imóveis,5.0,56,,,True,False,False,False,40,4,"Falta de presença nas redes sociais e canais de comunicação adicionais, como Instagram e Email, para ampliar a visibilidade e interação com os clientes",Você está perdendo oportunidades de negócios por não ter uma presença digital completa? Nossa agência de marketing digital pode ajudar a melhorar sua visibilidade online e atrair mais clientes,Social Media,Média,"A Imóveis MDG carece de presença nas redes sociais e canais de comunicação adicionais, como Instagram e Email, o que limita sua visibilidade e interação com os clientes. Com a implementação de estratégias de Social Media, a empresa pode ampliar sua alcance e atrair mais clientes. Isso representa uma oportunidade para aumentar sua presença digital e impulsionar as vendas.","Deve-se abordar este lead porque a falta de presença nas redes sociais e canais de comunicação adicionais é uma deficiência significativa que pode ser solucionada com a ajuda de uma agência especializada em marketing digital, proporcionando uma oportunidade clara para aumentar a visibilidade e o engajamento da Imóveis MDG com seu público-alvo.",False
São Paulo Imóveis,+55 11 3854-2765,http://www.saopauloimoveis.com.br/,São Paulo,São Paulo,Imobiliária,4.6,65,,,True,False,False,False,40,4,Falta de presença nas redes sociais e canais de comunicação como Instagram e Email,Como podemos ajudar a São Paulo Imóveis a expandir sua presença digital e melhorar sua comunicação com os clientes?,Social Media,Média,"A São Paulo Imóveis carece de presença nas redes sociais e canais de comunicação, como Instagram e Email, o que limita sua capacidade de alcançar novos clientes e promover seus serviços. A implementação de uma estratégia de Social Media pode ajudar a empresa a aumentar sua visibilidade e atrair mais leads. Com uma prioridade média, há oportunidades comerciais significativas para explorar.","Uma agência de marketing digital deve abordar este lead porque a falta de presença nas redes sociais e canais de comunicação é uma deficiência crítica que pode ser solucionada com uma estratégia de Social Media eficaz, proporcionando uma oportunidade de crescimento e aumento da visibilidade para a São Paulo Imóveis.",False
Ferreira Melhores Imóveis - São Paulo/SP,+55 11 5571-0500,http://ferreiramelhoresimoveis.com.br/,São Paulo,São Paulo,Imobiliária,5.0,53,,,True,False,False,False,40,6,Falta de presença nas redes sociais e canais de comunicação como Instagram e Email,Como podemos ajudar a Ferreira Melhores Imóveis a aumentar sua presença digital e atrair mais clientes?,Social Media,Média,"A Ferreira Melhores Imóveis enfrenta uma falta de presença nas redes sociais e canais de comunicação, o que limita sua capacidade de alcançar novos clientes e promover seus serviços. A implementação de uma estratégia de Social Media pode ajudar a empresa a aumentar sua visibilidade e atrair mais leads. Com uma prioridade média, há oportunidades para melhorar a presença digital da empresa.","A agência deve abordar este lead porque a falta de presença nas redes sociais e canais de comunicação é uma deficiência significativa que pode ser solucionada com uma estratégia de Social Media eficaz, oferecendo oportunidades comerciais para aumentar a visibilidade e o engajamento da empresa.",True
"Imobiliária São Paulo – Venda, Locação e Administração em Araraquara",+55 16 3333-4000,http://www.imobsaopaulo.com.br/,Araraquara,São Paulo,Imobiliária,4.0,589,,,True,False,False,False,60,4,Falta de presença nas redes sociais e canais de comunicação como Instagram e Email,Como podemos ajudar a Imobiliária São Paulo a aumentar sua presença digital e atrair mais clientes?,Social Media,Média,"A Imobiliária São Paulo em Araraquara carece de presença nas redes sociais e canais de comunicação, como Instagram e Email, o que limita sua capacidade de alcançar novos clientes e promover seus serviços. A implementação de estratégias de Social Media pode ajudar a empresa a aumentar sua visibilidade e atrair mais leads. Com uma prioridade média, há oportunidades claras para melhorar a presença digital da empresa.","Uma agência de marketing digital deve abordar este lead porque a falta de presença nas redes sociais e canais de comunicação é uma deficiência significativa que pode ser solucionada com estratégias de Social Media, oferecendo uma oportunidade clara para aumentar a visibilidade e o alcance da Imobiliária São Paulo em Araraquara.",False
Nova São Paulo - Unidade Saúde 1,+55 11 97489-2840,http://www.novasaopaulo.com.br/,São Paulo,São Paulo,Imobiliária,4.6,1767,https://www.instagram.com/imob.novasaopaulo/,,True,True,True,False,100,2,"Presença digital completa, mas com potencial para otimização de estratégias de marketing digital",Como podemos ajudar a Nova São Paulo a aumentar sua visibilidade online e atrair mais clientes?,Nenhum,Baixa,"A Nova São Paulo - Unidade Saúde 1 possui presença digital consolidada, mas com potencial para otimização de estratégias de marketing digital. No entanto, a prioridade é baixa devido à presença digital já estabelecida. A empresa apresenta poucas oportunidades comerciais no momento.","O motivo para abordar este lead é verificar se há necessidade de ajustes ou otimizações em sua estratégia de marketing digital, embora o potencial comercial seja baixo no momento.",False
Seattle Dental Co.,(206) 284-4412,https://www.seattledentalco.com/,Seattle,Washington,Dentista,4.9,794,https://www.instagram.com/seattledentalco/,hello@seattledentalco.com?subject=New%20Message,True,False,True,True,80,2,"Presença digital completa e alta reputação, mas com possibilidades de otimização de marketing digital",Como podemos ajudar a Seattle Dental Co. a aumentar sua presença online e atrair mais pacientes?,Nenhum,Baixa,"A Seattle Dental Co. possui uma presença digital consolidada e alta reputação, com poucas oportunidades de otimização de marketing digital. A empresa não apresenta deficiências significativas em sua estratégia digital. Portanto, há poucas oportunidades comerciais para uma agência de marketing digital.","O lead possui baixo potencial comercial no momento devido à sua presença digital já consolidada, o que torna desnecessária a intervenção de uma agência de marketing digital para melhorar sua visibilidade ou reputação online.",False
Simply Dental,(206) 466-2623,http://www.simplydentalseattle.com/,Seattle,Washington,Dentista,4.6,624,https://www.instagram.com/simplydentalseattle/,simplydentalseattle@gmail.com,True,True,True,True,100,2,"Presença digital completa, mas pode haver oportunidades de melhoria na estratégia de marketing digital",Como podemos ajudar a Simply Dental a aumentar sua visibilidade online e atrair mais pacientes?,Nenhum,Baixa,"A Simply Dental possui uma presença digital completa, mas pode haver oportunidades de melhoria na estratégia de marketing digital. No entanto, a prioridade é baixa, indicando que a empresa possui poucas necessidades imediatas. A empresa parece ter uma presença digital consolidada.","O motivo para abordar este lead é verificar se há oportunidades de melhoria na estratégia de marketing digital, mas devido à prioridade baixa, o potencial comercial é limitado no momento.",False
Washington Dental Clinic,(206) 722-8211,http://www.wadentalclinic.com/,Seattle,Washington,Dentista,3.4,14,,,True,False,False,False,40,7,"A clínica dental não possui presença nas redes sociais Instagram e não utiliza o e-mail como canal de comunicação, além de ter um número limitado de reviews.",Podemos ajudar a Washington Dental Clinic a melhorar sua presença online e atrair mais pacientes através de estratégias de marketing digital personalizadas?,Google Meu Negócio,Alta,"A Washington Dental Clinic carece de presença nas redes sociais, especialmente no Instagram, e não utiliza o e-mail como canal de comunicação, além de ter um número limitado de reviews, o que afeta sua visibilidade online. A principal deficiência digital identificada é a falta de estratégia de marketing digital eficaz. Isso oferece uma grande oportunidade para melhorar sua presença online.","Deve-se abordar este lead porque a falta de presença nas redes sociais e a limitação de reviews criam uma grande oportunidade para uma agência de marketing digital ajudar a Washington Dental Clinic a melhorar sua visibilidade online, aumentar sua presença digital e atrair mais pacientes, tornando-o um lead com alta prioridade e grande potencial comercial.",True
Dr. Renato de Carvalho Najjar,+55 11 3082-3701,,São Paulo,São Paulo,Dentista,5.0,2,,,False,False,False,False,0,10,"Falta de presença digital, incluindo website, WhatsApp, Instagram e Email","Você está perdendo oportunidades de negócios devido à falta de presença online, podemos ajudá-lo a criar uma estratégia digital eficaz?",Criação de Site,Alta,"A clínica do Dr. Renato de Carvalho Najjar carece de presença digital, apresentando uma oportunidade para criar um site e estabelecer uma base online. A falta de presença em canais como WhatsApp, Instagram e Email também é uma deficiência significativa. Isso oferece uma chance para desenvolver uma estratégia de marketing digital abrangente.","Deve-se abordar este lead porque a falta de presença digital é uma deficiência crítica que pode ser solucionada com a criação de um site e a implementação de estratégias de marketing digital, oferecendo uma grande oportunidade para aumentar a visibilidade e atrair novos pacientes.",True
Clinica Odontológica COFA Odontologia,+55 11 3287-4819,,São Paulo,São Paulo,Dentista,4.8,247,,,False,False,False,False,20,10,"Falta de presença digital, incluindo website, Instagram, WhatsApp e Email","Você está perdendo oportunidades de atrair novos pacientes devido à falta de presença online, podemos ajudar a criar uma estratégia digital eficaz?",Criação de Site,Alta,"A Clinica Odontológica COFA Odontologia carece de presença digital, incluindo website, Instagram, WhatsApp e Email, o que limita sua visibilidade e alcance de novos pacientes. A criação de um site é o serviço recomendado para resolver essa deficiência. Com uma presença digital forte, a clínica pode aumentar sua visibilidade e atrair mais pacientes.","Devido à falta de presença digital, a Clinica Odontológica COFA Odontologia apresenta uma grande oportunidade para uma agência de marketing digital criar um plano de ação personalizado, incluindo a criação de um site, para melhorar sua visibilidade online e aumentar seu alcance de novos pacientes, tornando-a uma indicação de alta prioridade.",True
